"key","message","comment","context"
"Full name","الاسم الكامل",,,
"Graduation date","تاريخ التخرج",,,
"Hire candidate","توظيف المرشح",,,
"Hiring Stage","مرحلة التوظيف",,,
"Hiring manager","مدير التوظيف",,,
"Hiring stage","مرحلة التوظيف",,,
"Hiring status","حالة التوظيف",,,
"Invalid dates. From date must be before to date.","تواريخ غير صالحة. يجب أن يكون تاريخ البداية قبل تاريخ النهاية.",,,
"Is template","هو قالب",,,
"Job Application","طلب وظيفة",,,
"Job Position Filters","مرشحات الوظيفة",,,
"Job application","طلب وظيفة",,,
"Job applications","طلبات الوظائف",,,
"Job description","وصف الوظيفة",,,
"Job email","البريد الإلكتروني للوظيفة",,,
"Job position","المسمى الوظيفي",,,
"Job positions","المسميات الوظيفية",,,
"Job reference","مرجع الوظيفة",,,
"Job title","عنوان الوظيفة",,,
"JobApplication.resume","السيرة الذاتية لطلب الوظيفة",,,
"Last email sync id","آخر معرف مزامنة البريد الإلكتروني",,,
"Last name","الاسم الأخير",,,
"Level of education","المستوى التعليمي",,,
"License","الرخصة",,,
"LinkedIn profile","ملف لينكد إن",,,
"Location","الموقع",,,
"Mandatory training","التدريب الإلزامي",,,
"Mass training register","تسجيل جماعي للتدريب",,,
"Meeting","اجتماع",,,
"Mobile phone","الهاتف المحمول",,,
"Month","شهر",,,
"My completed appraisals","تقييماتي المكتملة",,,
"My completed trainings","تدريباتي المكتملة",,,
"My training filters","مرشحات تدريبي",,,
"My upcoming appraisal","تقييمي القادم",,,
"My upcoming trainings","تدريباتي القادمة",,,
"Name","الاسم",,,
"Nb Employee","عدد الموظفين",,,
"Nb Hours","عدد الساعات",,,
"Nb of open jobs","عدد الوظائف المفتوحة",,,
"Nb of people hired","عدد الأشخاص المعينين",,,
"Nb of training hours per month","عدد ساعات التدريب شهريًا",,,
"Nb. hours per category","عدد الساعات لكل فئة",,,
"Nb. hours per training","عدد الساعات لكل تدريب",,,
"Nb. of trained employee per category","عدد الموظفين المدربين لكل فئة",,,
"New appraisal","تقييم جديد",,,
"No Training register is generated because selected employees don't have any user.","لم يتم إنشاء سجل تدريب لأن الموظفين المحددين ليس لديهم مستخدم.",,,
"No resume found","لم يتم العثور على سيرة ذاتية",,,
"Note","ملاحظة",,,
"Number of hours","عدد الساعات",,,
"Number of registredred to the session","عدد المسجلين في الجلسة",,,
"Objectives","الأهداف",,,
"On hold","معلق",,,
"Open","مفتوح",,,
"Overall rating","التقييم العام",,,
"Overall rating to apply","التقييم العام المطلوب للتقديم",,,
"Photo","الصورة",,,
"Planned","مخطط",,,
"Position Status","حالة الوظيفة",,,
"Primary Address","العنوان الأساسي",,,
"Profile details","تفاصيل الملف الشخصي",,,
"Profile wanted","الملف الشخصي المطلوب",,,
"Program","البرنامج",,,
"Proposed salary","الراتب المقترح",,,
"Publication Date","تاريخ النشر",,,
"Rating","التقييم",,,
"Realize","تحقيق",,,
"Reason not hired","سبب عدم التوظيف",,,
"Recruitment","التوظيف",,,
"Recruitment management","إدارة التوظيف",,,
"Referred by","تمت الإحالة بواسطة",,,
"Register","تسجيل",,,
"Register training","تسجيل التدريب",,,
"Requested","مطلوب",,,
"Required training","التدريب المطلوب",,,
"Reviewer","المراجع",,,
"Salary","الراتب",,,
"Schedule Event","جدولة حدث",,,
"Send","إرسال",,,
"Sent","تم الإرسال",,,
"Sequence","التسلسل",,,
"Session","جلسة",,,
"Set a hiring manager to create a job application.","قم بتعيين مدير توظيف لإنشاء طلب وظيفة.",,,
"Skill","المهارة",,,
"Skills","المهارات",,,
"Skills tag","علامات المهارات",,,
"Source","المصدر",,,
"Starting date","تاريخ البدء",,,
"Status","الحالة",,,
"Tag skill","وسم المهارة",,,
"Tag skills","وسم المهارات",,,
"Technicien","فني",,,
"Title","العنوان",,,
"To","إلى",,,
"To date","حتى التاريخ",,,
"Tools","الأدوات",,,
"Total","المجموع",,,
"Training","التدريب",,,
"Training Categories","فئات التدريب",,,
"Training Category","فئة التدريب",,,
"Training Register","سجل التدريب",,,
"Training completed","التدريب المكتمل",,,
"Training dashboard","لوحة تحكم التدريب",,,
"Training dates must be under training session date range.","يجب أن تكون تواريخ التدريب ضمن نطاق تاريخ جلسة التدريب.",,,
"Training filters","مرشحات التدريب",,,
"Training per category","التدريب حسب الفئة",,,
"Training register","سجل التدريب",,,
"Training register list","قائمة سجل التدريب",,,
"Training registers","سجلات التدريب",,,
"Training session","جلسة تدريب",,,
"Training sessions","جلسات التدريب",,,
"Training skill","مهارة التدريب",,,
"Training skills","مهارات التدريب",,,
"Trainings","التدريبات",,,
"Type","النوع",,,
"Type of appraisal","نوع التقييم",,,
"Upcoming appraisal","التقييم القادم",,,
"Upcoming appraisals of all employees of a team","التقييمات القادمة لجميع موظفي الفريق",,,
"Upcoming trainings of all employees of a team","التدريبات القادمة لجميع موظفي الفريق",,,
"Update all rating","تحديث جميع التقييمات",,,
"Validity duration","مدة الصلاحية",,,
"Work experience","الخبرة العملية",,,
"jobposition.companyDepartment","قسم الشركة للوظيفة",,,
"user@mydomain.com","user@mydomain.com",,,
"value:Appraisal","القيمة: التقييم",,,
"value:Recruitment","القيمة: التوظيف",,,
"value:Training","القيمة: التدريب",,,
